"","date","S65E_CHLOROPHYLL-A_ug/L","days"
"250",2005-11-16,4,3608
"251",2005-12-06,6,3628
"252",2005-12-20,4,3642
"253",2006-01-03,7,3656
"254",2006-01-17,5,3670
"255",2006-01-30,5,3683
"256",2006-02-13,1,3697
"257",2006-02-28,7,3712
"258",2006-03-13,2,3725
"259",2006-03-28,4,3740
"260",2006-04-11,1,3753
"261",2006-04-24,9,3766
"262",2006-05-08,14,3780
"263",2006-05-23,4,3795
"264",2006-06-06,4.2,3809
"265",2006-06-19,1,3822
"266",2006-07-18,5,3851
"267",2006-07-31,2,3864
"268",2006-08-14,7,3878
"269",2006-08-31,9,3895
"270",2006-09-11,4.33333333333333,3906
"271",2006-09-25,2,3920
"272",2006-10-10,7,3935
"273",2006-10-24,2,3949
"274",2006-11-07,NA,3964
"275",2006-11-21,2,3978
"276",2006-12-05,NA,3992
"277",2006-12-19,0.5,4006
"278",2007-01-02,0,4020
"279",2007-01-16,NA,4034
"280",2007-01-30,NA,4048
"281",2007-02-13,1,4062
"282",2007-02-27,2,4076
"283",2007-03-13,NA,4089
"284",2007-03-27,2,4103
"285",2007-04-10,NA,4117
"286",2007-04-24,2,4131
"287",2007-05-08,1,4145
"288",2007-05-22,2,4159
"289",2007-06-05,5.2,4173
"290",2007-06-19,4,4187
"291",2007-07-02,14,4200
"292",2007-08-06,4.5,4235
"293",2007-08-21,4,4250
"294",2007-09-04,0.5,4264
"295",2007-09-17,3,4277
"296",2007-10-01,3,4291
"297",2007-10-15,1.5,4305
"298",2007-10-29,2,4319
"299",2007-11-05,4,4327
"300",2007-11-20,2,4342
"301",2007-12-03,3,4355
"302",2007-12-18,4,4370
"303",2008-01-17,5,4400
"304",2008-01-29,4,4412
"305",2008-02-04,8,4418
"306",2008-02-19,10,4433
"307",2008-03-03,10,4446
"308",2008-03-17,7,4459
"309",2008-04-07,22,4480
"310",2008-04-21,18,4494
"311",2008-05-06,15,4509
"312",2008-05-19,8.5,4522
"313",2008-06-03,11.2,4537
"314",2008-06-17,12,4551
"315",2008-07-01,6.5,4565
"316",2008-07-16,7,4580
"317",2008-08-06,12,4601
"318",2008-08-26,7,4621
"319",2008-09-08,7.2,4634
"320",2008-09-22,18,4648
"321",2008-10-06,5.5,4662
"322",2008-10-20,2.5,4676
"323",2008-11-13,2.5,4701
"324",2008-11-24,10,4712
"325",2008-12-10,3.5,4728
"326",2008-12-23,5.5,4741
"327",2009-01-14,4,4763
"328",2009-01-27,6,4776
"329",2009-02-02,6,4782
"330",2009-02-17,20,4797
"331",2009-03-03,8.6,4811
"332",2009-03-17,9,4824
"333",2009-03-31,4.5,4838
"334",2009-04-14,5,4852
"335",2009-04-29,18,4867
"336",2009-05-13,8,4881
"337",2009-05-27,35,4895
"338",2009-06-02,12.5,4901
"339",2009-06-16,6.66666666666667,4915
"340",2009-07-07,5.5,4936
"341",2009-07-20,10,4949
"342",2009-08-04,4,4964
"343",2009-08-18,4,4978
"344",2009-09-08,5.5,4999
"345",2009-09-22,3,5013
"346",2009-10-07,2.5,5028
"347",2009-10-21,1,5042
"348",2009-11-09,1.5,5062
"349",2009-11-30,0.5,5083
"350",2009-12-16,1.5,5099
"351",2009-12-28,2.5,5111
"352",2010-01-11,3,5125
"353",2010-01-25,8,5139
"354",2010-02-08,5,5153
"355",2010-02-17,7,5162
"356",2010-03-15,4.4,5187
"357",2010-03-29,4,5201
"358",2010-04-12,1,5215
"359",2010-04-26,4,5229
"360",2010-05-10,1.5,5243
"361",2010-05-24,15,5257
"362",2010-06-07,11.25,5271
"363",2010-06-21,7,5285
"364",2010-07-08,7.5,5302
"365",2010-07-19,5,5313
"366",2010-08-02,6,5327
"367",2010-08-16,5,5341
"368",2010-09-14,6,5370
"369",2010-09-27,2,5383
"370",2010-10-11,5,5397
"371",2010-10-26,3,5412
"372",2010-11-09,6,5427
"373",2010-11-29,6,5447
"374",2010-12-09,16,5457
"375",2010-12-22,25,5470
"376",2011-01-10,13,5489
"377",2011-01-24,13,5503
"378",2011-02-07,23,5517
"379",2011-02-23,23,5533
"380",2011-03-09,13.6666666666667,5547
"381",2011-03-23,11,5560
"382",2011-04-13,32,5581
"383",2011-04-27,24,5595
