"","date","LZ40_NITRATE+NITRITE-N_mg/L","days"
"110",1993-08-13,0.0175,5553
"111",1993-08-14,0.0245,5554
"112",1993-08-15,0.04375,5555
"113",1993-08-16,0.0579166666666667,5556
"114",1993-08-17,0.11175,5557
"115",1993-08-18,0.10075,5558
"116",1993-08-19,0.0985,5559
"117",1993-08-20,0.0745,5560
"118",1993-08-21,0.058,5561
"119",1993-08-22,0.0785,5562
"120",1993-08-23,0.08725,5563
"121",1993-08-24,0.0896666666666667,5564
"122",1993-08-25,0.12275,5565
"123",1993-08-26,0.1335,5566
"124",1993-08-27,0.084,5567
"125",1993-08-28,0.09225,5568
"126",1993-08-29,0.09625,5569
"127",1993-08-30,0.1015,5570
"128",1993-08-31,0.094,5571
"129",1993-09-01,0.08525,5572
"130",1993-09-02,0.0922,5573
"131",1993-09-03,0.0808,5574
"132",1993-09-04,0.0728,5575
"133",1993-09-05,0.046,5576
"134",1993-09-06,0.0833684210526316,5577
"135",1993-09-07,0.0385,5578
"136",1993-09-08,0.0416,5579
"137",1993-09-09,0.0258,5580
"138",1993-09-10,0.0256,5581
"139",1993-09-11,0.0256,5582
"140",1993-09-12,0.03,5583
"141",1993-09-13,0.0276,5584
"142",1993-09-14,0.0328,5585
"143",1993-09-15,0.0444,5586
"144",1993-09-16,0.0546,5587
"145",1993-09-17,0.0456,5588
"146",1993-09-18,0.0496,5589
"147",1993-09-19,0.0668,5590
"148",1993-09-20,0.0524,5591
"149",1993-09-21,0.0353703703703704,5592
"150",1993-09-22,0.0119333333333333,5593
"151",1993-09-23,0.0102,5594
"152",1993-09-24,0.0196,5595
"153",1993-09-25,0.0136,5596
"154",1993-09-26,0.0198,5597
"155",1993-09-27,0.0256,5598
"156",1993-09-28,0.0218,5599
"157",1993-09-29,0.0234,5600
"158",1993-09-30,0.0484,5601
"159",1993-10-01,0.2216,5602
"160",1993-10-02,0.1235,5603
"161",1993-10-03,0.09875,5604
"162",1993-10-04,0.10225,5605
"163",1993-10-05,0.101909090909091,5606
"164",1993-10-06,0.05852,5607
"165",1993-10-07,0.0906,5608
"166",1993-10-08,0.1002,5609
"167",1993-10-09,0.1064,5610
"168",1993-10-10,0.0924,5611
"169",1993-10-11,0.0728571428571429,5612
"170",1993-10-12,0.065,5613
"171",1993-10-13,0.0990714285714286,5614
"172",1993-10-14,0.07,5615
"173",1993-10-15,0.0705,5616
"174",1993-10-16,0.07875,5617
"175",1993-10-17,0.097,5618
"176",1993-10-18,0.10225,5619
"177",1993-10-19,0.0762307692307692,5620
"178",1993-10-20,0.111,5621
"179",1993-10-21,0.11675,5622
"180",1993-10-22,0.09675,5623
"181",1993-10-23,0.0815,5624
"182",1993-10-24,0.0655,5625
"183",1993-10-25,0.0565,5626
"184",1993-10-26,0.0259230769230769,5627
"185",1993-10-27,0.0614615384615385,5628
"186",1993-10-28,0.041,5629
"187",1993-10-29,0.0652,5630
"188",1993-10-30,0.0546,5631
"189",1993-10-31,0.1336,5632
"190",1993-11-01,0.1312,5633
"191",1993-11-02,0.1872,5634
"192",1993-11-03,0.2044,5635
"193",1993-11-04,0.138137931034483,5636
"194",1993-11-05,0.1944,5637
"195",1993-11-06,0.2054,5638
"196",1993-11-07,0.2128,5639
"197",1993-11-08,0.2614,5640
"198",1993-11-09,0.173071428571429,5641
"199",1993-11-10,0.205454545454545,5642
"200",1993-11-11,0.206,5643
"201",1993-11-12,0.209,5644
"202",1993-11-13,0.2055,5645
"203",1993-11-14,0.215166666666667,5646
"204",1993-11-15,0.211,5647
"205",1993-11-16,0.132058823529412,5648
"206",1993-11-17,0.208916666666667,5649
"207",1993-11-19,0.015,5651
"208",1993-11-20,0.02525,5652
"209",1993-11-21,0.0573333333333333,5653
"210",1993-11-22,0.0776666666666667,5654
"211",1993-11-23,0.148333333333333,5655
"212",1993-11-24,0.212666666666667,5656
"213",1993-11-25,0.196,5657
"214",1993-11-26,0.26525,5658
"215",1993-11-27,0.221,5659
"216",1993-11-28,0.25925,5660
"217",1993-11-29,0.27575,5661
"218",1993-11-30,0.2855,5662
"219",1993-12-01,0.23,5663
"220",1993-12-02,0.24075,5664
"221",1993-12-03,0.246,5665
"222",1993-12-04,0.248,5666
"223",1993-12-05,0.268,5667
"224",1993-12-06,0.289,5668
"225",1993-12-07,0.203111111111111,5669
"226",1993-12-08,0.198666666666667,5670
"227",1993-12-14,0.3405,5676
"228",1993-12-15,0.361333333333333,5677
"229",1993-12-16,0.377333333333333,5678
"230",1993-12-17,0.381333333333333,5679
"231",1993-12-18,0.373666666666667,5680
"232",1993-12-19,0.357166666666667,5681
"233",1993-12-20,0.281333333333333,5682
"234",1993-12-21,0.3282,5683
"235",1993-12-22,0.3074,5684
"236",1993-12-23,0.323833333333333,5685
"237",1993-12-24,0.3275,5686
"238",1993-12-25,0.370166666666667,5687
"239",1993-12-26,0.364666666666667,5688
"240",1993-12-27,0.404833333333333,5689
"241",1993-12-28,0.400333333333333,5690
"242",1993-12-29,0.3345,5691
"243",1993-12-30,0.3375,5692
"244",1994-01-06,0.254461538461538,5699
"245",1994-01-07,0.345147058823529,5700
"246",1994-01-08,0.33075,5701
"247",1994-01-09,0.37025,5702
"248",1994-01-10,0.42325,5703
"249",1994-01-11,0.3945,5704
"250",1994-01-12,0.4005,5705
"251",1994-01-13,0.320625,5706
"252",1994-01-14,0.389428571428571,5707
"253",1994-01-15,0.443166666666667,5708
"254",1994-01-16,0.436833333333333,5709
"255",1994-01-17,0.442833333333333,5710
"256",1994-01-18,0.440833333333333,5711
"257",1994-01-19,0.439333333333333,5712
"258",1994-01-20,0.449666666666667,5713
"259",1994-01-21,0.279166666666667,5714
"260",1994-01-22,0.3435,5715
"261",1994-01-23,0.3635,5716
"262",1994-01-24,0.351,5717
"263",1994-01-25,0.371,5718
"264",1994-01-26,0.397966666666667,5719
"265",1994-01-27,0.362166666666667,5720
"266",1994-01-28,0.355333333333333,5721
"267",1994-01-29,0.392666666666667,5722
"268",1994-01-30,0.391333333333333,5723
"269",1994-01-31,0.3885,5724
"270",1994-02-01,0.341333333333333,5725
"271",1994-02-02,0.381375,5726
"272",1994-02-03,0.38125,5727
"273",1994-02-04,0.38875,5728
"274",1994-02-05,0.38225,5729
"275",1994-02-06,0.3785,5730
"276",1994-02-07,0.37625,5731
"277",1994-02-08,0.30575,5732
"278",1994-02-09,0.376615384615385,5733
"279",1994-02-10,0.3336,5734
"280",1994-02-11,0.3302,5735
"281",1994-02-12,0.3152,5736
"282",1994-02-13,0.3505,5737
"283",1994-02-14,0.33,5738
"284",1994-02-15,0.27,5739
"285",1994-02-16,0.3268,5740
"286",1994-02-17,0.3365,5741
"287",1994-02-18,0.3122,5742
"288",1994-02-19,0.25675,5743
"289",1994-02-20,0.206,5744
"290",1994-02-21,0.2135,5745
"291",1994-02-22,0.2722,5746
"292",1994-02-23,0.30975,5747
"293",1994-02-24,0.275,5748
"294",1994-02-25,0.347,5749
"295",1994-02-26,0.3268,5750
"296",1994-02-27,0.31625,5751
"297",1994-02-28,0.33325,5752
"298",1994-03-01,0.285,5753
"299",1994-03-02,0.308666666666667,5754
"300",1994-03-03,0.3812,5755
"301",1994-03-04,0.4432,5756
"302",1994-03-05,0.4448,5757
"303",1994-03-06,0.4384,5758
"304",1994-03-07,0.4352,5759
"305",1994-03-08,0.384222222222222,5760
"306",1994-03-09,0.392916666666667,5761
"307",1994-03-10,0.419,5762
"308",1994-03-11,0.43525,5763
"309",1994-03-12,0.4385,5764
"310",1994-03-13,0.445666666666667,5765
"311",1994-03-14,0.44225,5766
"312",1994-03-15,0.4395,5767
"313",1994-03-16,0.435,5768
"314",1994-03-17,0.332071428571429,5769
"315",1994-03-18,0.433375,5770
"316",1994-03-19,0.4382,5771
"317",1994-03-20,0.433,5772
"318",1994-03-21,0.4068,5773
"319",1994-03-22,0.369071428571429,5774
"320",1994-03-23,0.384,5775
"321",1994-03-24,0.3606,5776
"322",1994-03-25,0.342,5777
"323",1994-03-26,0.3364,5778
"324",1994-03-27,0.2472,5779
"325",1994-03-28,0.2736,5780
"326",1994-03-29,0.212,5781
"327",1994-03-30,0.3145,5782
"328",1994-03-31,0.32125,5783
"329",1994-04-01,0.341,5784
"330",1994-04-02,0.341,5785
"331",1994-04-03,0.2934,5786
"332",1994-04-04,0.28875,5787
"333",1994-04-05,0.272181818181818,5788
"334",1994-04-06,0.2918,5789
"335",1994-04-07,0.273666666666667,5790
"336",1994-04-08,0.2876,5791
"337",1994-04-09,0.299333333333333,5792
"338",1994-04-10,0.340166666666667,5793
"339",1994-04-11,0.3005,5794
"340",1994-04-12,0.2822,5795
"341",1994-04-13,0.310666666666667,5796
"342",1994-04-14,0.2635,5797
"343",1994-04-15,0.30225,5798
"344",1994-04-16,0.287666666666667,5799
"345",1994-04-17,0.271,5800
"346",1994-04-18,0.2815,5801
"347",1994-04-19,0.226571428571429,5802
"348",1994-04-20,0.267166666666667,5803
"349",1994-04-21,0.328666666666667,5804
"350",1994-04-22,0.325333333333333,5805
"351",1994-04-23,0.330333333333333,5806
"352",1994-04-24,0.363,5807
"353",1994-04-25,0.381,5808
"354",1994-04-26,0.321642857142857,5809
"355",1994-04-27,0.3855,5810
"356",1994-04-28,0.247166666666667,5811
"357",1994-04-29,0.104,5812
"358",1994-04-30,0.0213333333333333,5813
"359",1994-05-01,0.0166666666666667,5814
"360",1994-05-02,0.097,5815
"361",1994-05-03,0.212928571428571,5816
"362",1994-05-04,0.283833333333333,5817
"363",1994-05-05,0.1355,5818
"364",1994-05-06,0.1755,5819
"365",1994-05-07,0.216333333333333,5820
"366",1994-05-08,0.228333333333333,5821
"367",1994-05-09,0.176666666666667,5822
"368",1994-05-10,0.161333333333333,5823
"369",1994-05-11,0.161833333333333,5824
"370",1994-05-12,0.130266666666667,5825
"371",1994-05-13,0.1486,5826
"372",1994-05-14,0.1628,5827
"373",1994-05-15,0.1828,5828
"374",1994-05-16,0.2232,5829
"375",1994-05-17,0.170352941176471,5830
"376",1994-05-18,0.230333333333333,5831
"377",1994-05-19,0.2255,5832
"378",1994-05-20,0.2475,5833
"379",1994-05-21,0.261666666666667,5834
"380",1994-05-22,0.268,5835
"381",1994-05-23,0.2355,5836
"382",1994-05-24,0.182538461538462,5837
"383",1994-05-25,0.2105,5838
"384",1994-05-26,0.190833333333333,5839
"385",1994-05-27,0.175333333333333,5840
"386",1994-05-28,0.132833333333333,5841
"387",1994-05-29,0.1215,5842
"388",1994-05-30,0.120166666666667,5843
"389",1994-05-31,0.0982,5844
"390",1994-06-01,0.0988571428571429,5845
"391",1994-06-02,0.107833333333333,5846
"392",1994-06-03,0.105666666666667,5847
"393",1994-06-04,0.0893333333333333,5848
"394",1994-06-05,0.0848333333333333,5849
"395",1994-06-06,0.0765,5850
"396",1994-06-07,0.0674285714285714,5851
"397",1994-06-08,0.1148,5852
"398",1994-06-09,0.1218,5853
"399",1994-06-10,0.1228,5854
"400",1994-06-11,0.1318,5855
"401",1994-06-12,0.1138,5856
"402",1994-06-13,0.101,5857
"403",1994-06-14,0.0662666666666667,5858
"404",1994-06-15,0.0628333333333333,5859
"405",1994-06-16,0.0641666666666667,5860
"406",1994-06-17,0.06,5861
"407",1994-06-18,0.0563333333333333,5862
"408",1994-06-19,0.0611666666666667,5863
"409",1994-06-20,0.0495,5864
"410",1994-06-21,0.0504,5865
"411",1994-06-22,0.0728333333333333,5866
"412",1994-06-23,0.0735,5867
"413",1994-06-24,0.049,5868
"414",1994-06-25,0.0305,5869
"415",1994-06-26,0.0288333333333333,5870
"416",1994-06-27,0.0328333333333333,5871
"417",1994-06-28,0.0215,5872
"418",1994-06-29,0.025,5873
"419",1994-06-30,0.0301666666666667,5874
"420",1994-07-01,0.0298,5875
"421",1994-07-02,0.0246666666666667,5876
"422",1994-07-03,0.0335,5877
"423",1994-07-04,0.0403333333333333,5878
"424",1994-07-05,0.0234666666666667,5879
"425",1994-07-06,0.0371666666666667,5880
"426",1994-07-07,0.0466666666666667,5881
"427",1994-07-08,0.0416666666666667,5882
"428",1994-07-09,0.0433333333333333,5883
"429",1994-07-10,0.0328333333333333,5884
"430",1994-07-11,0.0176666666666667,5885
"431",1994-07-12,0.019,5886
"432",1994-07-13,0.0133333333333333,5887
"433",1994-07-14,0.0166666666666667,5888
"434",1994-07-15,0.0195,5889
"435",1994-07-16,0.0188333333333333,5890
"436",1994-07-17,0.0173333333333333,5891
"437",1994-07-18,0.0141666666666667,5892
"438",1994-07-19,0.00754545454545455,5893
"439",1994-07-20,0.016,5894
"440",1994-07-21,0.0225,5895
"441",1994-07-22,0.0215,5896
"442",1994-07-23,0.0195,5897
"443",1994-07-24,0.0145,5898
"444",1994-07-25,0.019,5899
"445",1994-07-26,0.0143076923076923,5900
"446",1994-07-27,0.01975,5901
"447",1994-07-28,0.01425,5902
"448",1994-07-29,0.01,5903
"449",1994-07-30,0.01325,5904
"450",1994-07-31,0.015,5905
"451",1994-08-01,0.01125,5906
"452",1994-08-02,0.01475,5907
"453",1994-08-03,0.01175,5908
"454",1994-08-04,0.01225,5909
"455",1994-08-05,0.013,5910
"456",1994-08-06,0.0135,5911
"457",1994-08-07,0.01825,5912
"458",1994-08-08,0.0152,5913
"459",1994-08-09,0.0101538461538462,5914
"460",1994-08-10,0.0138,5915
"461",1994-08-11,0.0118,5916
"462",1994-08-12,0.0194,5917
"463",1994-08-13,0.0258,5918
"464",1994-08-14,0.0326,5919
"465",1994-08-15,0.0394,5920
"466",1994-08-16,0.0895833333333333,5921
"467",1994-08-17,0.01925,5922
"468",1994-08-18,0.01225,5923
"469",1994-08-19,0.00975,5924
"470",1994-08-20,0.009,5925
"471",1994-08-21,0.00725,5926
"472",1994-08-22,0.00825,5927
"473",1994-08-23,0.00333333333333333,5928
"474",1994-08-24,0.00666666666666667,5929
"475",1994-08-25,0.0123333333333333,5930
"476",1994-08-26,0.01,5931
"477",1994-08-27,0.0065,5932
"478",1994-08-28,0.00433333333333333,5933
"479",1994-08-29,0.0121666666666667,5934
"480",1994-08-30,0.00925,5935
"481",1994-08-31,0.007,5936
"482",1994-09-01,0.017,5937
"483",1994-09-02,0.011,5938
"484",1994-09-03,0.0126,5939
"485",1994-09-04,0.017,5940
"486",1994-09-05,0.0114,5941
"487",1994-09-06,0.00833333333333333,5942
"488",1994-09-07,0.0118,5943
"489",1994-09-08,0.013,5944
"490",1994-09-09,0.0098,5945
"491",1994-09-10,0.0108,5946
"492",1994-09-11,0.0118,5947
"493",1994-09-12,0.0112,5948
"494",1994-09-13,0.0216,5949
"495",1994-09-14,0.0322,5950
"496",1994-09-15,0.0428,5951
"497",1994-09-16,0.0406,5952
"498",1994-09-17,0.0254,5953
"499",1994-09-18,0.0196,5954
"500",1994-09-19,0.0158,5955
"501",1994-09-20,0.0134,5956
"502",1994-09-21,0.0064,5957
"503",1994-09-22,0.017,5958
"504",1994-09-23,0.0185,5959
"505",1994-09-24,0.021,5960
"506",1994-09-25,0.0213333333333333,5961
"507",1994-09-26,0.0268333333333333,5962
"508",1994-09-27,0.0313333333333333,5963
"509",1994-09-28,0.04,5964
"510",1994-09-29,0.039,5965
"511",1994-09-30,0.0306666666666667,5966
"512",1994-10-01,0.021,5967
"513",1994-10-02,0.03275,5968
"514",1994-10-03,0.0361666666666667,5969
"515",1994-11-07,NA,6004
"516",1994-12-06,0.277,6033
"517",1994-12-12,0.295214285714286,6039
"518",1995-01-23,0.331571428571429,6081
"519",1995-01-26,0.542076923076923,6084
"520",1995-02-02,0.171230769230769,6091
"521",1995-03-07,0.1775,6124
"522",1995-05-01,0.372428571428571,6179
"523",1995-05-04,0.577692307692308,6182
"524",1995-06-07,0.207,6216
"525",1995-07-17,0.00114285714285714,6256
"526",1995-07-19,0.191692307692308,6258
"527",1995-09-05,0.0836666666666667,6306
"528",1995-09-18,0.0498571428571429,6319
"529",1995-09-21,0.193384615384615,6322
"530",1996-11-12,0.198,6740
"531",1996-12-10,0.175,6768
"532",1997-01-06,0.195,6795
"533",1997-02-03,0.303,6823
"534",1997-03-03,0.153,6851
"535",1997-04-08,0.32,6887
"536",1997-04-24,0.31,6903
"537",1997-05-08,0.249,6917
"538",1997-05-20,0.305,6929
"539",1997-06-02,0.135,6942
"540",1997-06-17,0.141,6957
"541",1997-07-15,0.006,6985
"542",1997-08-13,0.007,7014
"543",1997-08-25,0.012,7026
"544",1997-09-09,0.04,7041
"545",1997-09-23,NA,7055
"546",1997-10-20,0.093,7082
"547",1997-11-17,0.239,7110
"548",1998-01-12,0.238,7166
"549",1998-02-10,0.38,7195
"550",1998-03-16,0.431,7229
"551",1998-03-31,0.3,7244
"552",1998-04-14,0.377,7258
"553",1998-04-28,0.39,7272
"554",1998-05-11,0.369,7285
"555",1998-05-27,0.368,7301
"556",1998-06-09,0.334,7314
"557",1998-06-23,0.349,7328
"558",1998-07-07,0.279,7342
"559",1998-07-21,0.252,7356
"560",1998-08-03,0.115,7369
"561",1998-08-18,0.007,7384
"562",1998-09-01,0.025,7398
"563",1998-09-29,0.084,7426
"564",1998-10-27,0.106,7454
"565",1998-11-24,0.076,7482
"566",1998-12-21,0.235,7509
"567",1999-01-20,0.171,7539
"568",1999-02-17,0.192,7567
"569",1999-04-13,0.036,7622
"570",1999-04-27,0.045,7636
"571",1999-05-25,0.05,7664
"572",1999-06-15,NA,7685
"573",1999-06-22,0.063,7692
"574",1999-07-06,0.081,7706
"575",1999-07-19,0.004,7719
"576",1999-08-03,NA,7734
"577",1999-08-16,0.132,7747
"578",1999-08-31,0.166,7762
"579",1999-09-28,0.266,7790
"580",1999-10-11,0.008,7803
"581",1999-12-06,0.539,7859
"582",2000-01-12,0.624,7896
"583",2000-02-14,0.675,7929
"584",2000-03-13,0.613,7957
"585",2000-04-10,0.658,7985
"586",2000-05-08,0.509,8013
"587",2000-05-23,0.373,8028
"588",2000-06-06,0.316,8042
"589",2000-06-20,0.209,8056
"590",2000-07-05,0.264,8071
"591",2000-08-15,0.096,8112
"592",2000-09-12,NA,8140
"593",2000-09-26,NA,8154
"594",2000-10-12,0.09,8170
"595",2000-11-07,0.207,8196
"596",2000-12-05,0.325,8224
"597",2001-01-02,0.394,8252
"598",2001-01-29,0.399,8279
"599",2001-02-28,0.147,8309
"600",2001-04-04,0.258,8344
"601",2001-05-30,NA,8400
"602",2001-06-14,0.0285,8415
"603",2001-06-25,0.148,8426
"604",2001-08-09,NA,8471
"605",2001-08-20,0.033,8482
"606",2001-09-04,NA,8497
"607",2001-10-15,0.116,8538
"608",2001-11-27,0.32,8581
"609",2001-12-10,0.363,8594
"610",2002-01-14,0.411,8629
"611",2002-02-11,0.292,8657
"612",2002-03-12,0.26,8686
"613",2002-04-10,0.193,8715
"614",2002-04-22,0.112,8727
"615",2002-05-06,0.093,8741
"616",2002-05-20,0.147,8755
"617",2002-06-04,NA,8770
"618",2002-06-17,0.083,8783
"619",2002-07-15,0.034,8811
"620",2002-07-29,0.027,8825
"621",2002-08-12,0.098,8839
"622",2002-08-26,0.082,8853
"623",2002-09-09,0.166,8867
"624",2002-09-25,0.035,8883
"625",2002-10-21,0.036,8909
"626",2002-11-19,0.23,8938
"627",2002-12-16,0.289,8965
"628",2003-01-21,0.295,9001
"629",2003-02-18,0.306,9029
"630",2003-03-11,0.411,9050
"631",2003-04-02,0.444,9072
"632",2003-04-14,0.346,9084
"633",2003-04-22,0.1675,9092
"634",2003-05-05,0.313,9105
"635",2003-06-09,0.1455,9140
"636",2003-07-14,0.1205,9175
"637",2003-08-27,0.051,9219
"638",2003-09-09,0.015,9232
"639",2003-10-13,0.021,9266
"640",2003-10-14,0.041,9267
"641",2003-11-13,0.08,9297
"642",2003-12-09,0.275,9323
"643",2004-01-06,0.216,9351
"644",2004-01-12,0.1685,9357
"645",2004-02-04,0.143,9380
"646",2004-03-17,0.255,9422
"647",2004-04-20,0.20825,9456
"648",2004-05-18,0.4,9484
"649",2004-06-09,0.237,9506
"650",2004-07-20,0.158,9547
"651",2004-07-21,0.108666666666667,9548
"652",2004-08-10,0.16,9568
"653",2004-10-11,0.71,9630
"654",2004-10-18,0.4065,9637
"655",2004-11-18,0.754,9668
"656",2004-12-29,0.837,9709
"657",2005-01-10,0.338,9721
"658",2005-01-25,0.518,9736
"659",2005-02-07,0.765,9749
"660",2005-03-07,0.3765,9777
"661",2005-04-11,0.735,9812
"662",2005-05-02,0.485666666666667,9833
"663",2005-05-09,0.718,9840
"664",2005-06-21,0.621,9883
"665",2005-07-12,0.400333333333333,9904
"666",2005-07-20,0.456,9912
"667",2005-08-16,0.045,9939
"668",2005-09-13,0.262,9967
"669",2005-10-10,0.132,9994
"670",2005-11-01,0.115,10016
"671",2005-11-07,0.266,10022
"672",2005-12-19,0.604,10064
"673",2006-01-19,0.624,10095
"674",2006-02-06,0.5725,10113
"675",2006-02-14,0.601,10121
"676",2006-03-14,0.2695,10149
"677",2006-04-24,0.511,10190
"678",2006-05-09,0.332333333333333,10205
"679",2006-05-17,0.546,10213
"680",2006-06-14,0.535,10241
"681",2006-07-10,0.485,10267
"682",2006-07-24,0.218333333333333,10281
"683",2006-08-14,0.292,10302
"684",2006-09-27,0.061,10346
"685",2006-10-16,0.084,10365
"686",2006-11-06,0.19,10386
"687",2006-12-12,0.171,10422
"688",2007-01-16,0.157,10457
"689",2007-02-13,0.2,10485
"690",2007-03-19,0.188,10519
"691",2007-04-18,0.094,10549
"692",2007-08-13,NA,10666
"693",2007-09-26,0.148,10710
"694",2007-10-15,0.047,10729
"695",2007-11-05,0.222,10750
"696",2007-12-11,0.269,10786
"697",2008-01-14,0.242,10820
"698",2008-02-14,0.265,10851
"699",2008-03-11,0.354,10877
"700",2008-04-14,0.182,10911
"701",2008-05-21,0.121,10948
"702",2008-06-09,0.064,10967
"703",2008-07-21,0.022,11009
"704",2008-08-11,0.03,11030
"705",2008-09-23,0.296,11073
"706",2008-10-20,0.303,11100
"707",2008-11-18,0.443,11129
"708",2008-12-16,0.494,11157
"709",2009-01-13,0.301,11185
"710",2009-02-12,0.487,11215
"711",2009-03-10,0.438,11241
"712",2009-04-28,0.276,11290
"713",2009-05-12,0.176,11304
"714",2009-06-10,0.216,11333
"715",2009-07-07,0.122,11360
"716",2009-08-18,0.098,11402
"717",2009-09-15,0.085,11430
"718",2009-10-13,0.171,11458
"719",2009-11-17,0.315,11493
"720",2009-12-15,0.215,11521
"721",2010-01-14,0.397,11551
"722",2010-03-10,0.465,11606
"723",2010-04-20,0.41,11647
"724",2010-05-19,0.375,11676
"725",2010-06-15,NA,11703
"726",2010-07-13,NA,11731
"727",2010-08-25,0.151,11774
"728",2010-09-20,0.158,11800
"729",2010-10-20,0.187,11830
"730",2010-11-01,0.297,11842
"731",2010-12-15,0.383,11886
"732",2011-01-04,0.365,11906
"733",2011-02-14,0.379,11947
"734",2011-03-08,0.376,11969
"735",2011-04-18,0.192,12010
"736",2011-05-23,0.041,12045
"737",2011-06-07,NA,12060
"738",2011-07-12,NA,12095
"739",2011-08-02,NA,12116
"740",2011-09-19,0.02,12164
"741",2011-10-10,0.144,12185
"742",2011-11-14,0.241,12220
"743",2011-12-06,0.276,12242
"744",2012-01-24,0.245,12291
"745",2012-02-06,0.149,12304
"746",2012-03-20,NA,12347
"747",2012-04-03,0.238,12361
"748",2012-05-21,0.212,12409
"749",2012-06-11,0.256,12430
"750",2012-07-17,0.1,12466
"751",2012-08-14,0.022,12494
"752",2012-09-19,0.182,12530
"753",2012-10-09,0.067,12550
"754",2012-11-27,0.349,12599
"755",2012-12-11,0.369,12613
"756",2013-01-08,0.428,12641
"757",2013-02-11,0.354,12675
"758",2013-03-27,0.417,12719
"759",2013-04-08,0.355,12731
"760",2013-05-14,0.15,12767
"761",2013-06-03,0.087,12787
"762",2013-07-17,0.058,12831
"763",2013-08-06,0.088,12851
